,participant_id,Condition,Classifier,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
612,sub-023,Green/Inverted/Faces,SVM,"[[22  8]
 [ 1  5]]",100.0,83.3,78.3,100.0,73.3,75.0,100.0,42.9,38.5,1.0,0.535,0.44,100.0,100.0,83.3,1.0,0.431,1.0,0.709,0.613,1.0,0.6,0.526,1.0,0.833,0.783,0.428,0.041
613,sub-023,Green/Inverted/Faces,LDA,"[[29  1]
 [ 3  3]]",84.3,83.3,73.3,93.0,93.3,88.9,83.3,100.0,75.0,0.731,0.784,0.553,71.4,66.7,50.0,0.806,0.682,0.747,0.743,0.557,0.769,0.8,0.6,0.843,0.833,0.733,1.561,0.035
614,sub-023,Green/Inverted/Faces,RF,"[[30  0]
 [ 2  4]]",100.0,83.3,83.3,100.0,93.3,94.4,100.0,100.0,100.0,1.0,0.784,0.791,100.0,66.7,66.7,1.0,0.909,1.0,0.743,0.743,1.0,0.8,0.8,1.0,0.833,0.833,0.51,0.069
615,sub-023,Green/Inverted/Silhouettes,SVM,"[[15 15]
 [ 1  5]]",100.0,54.2,66.7,100.0,46.7,55.6,100.0,22.2,25.0,1.0,0.068,0.25,100.0,66.7,83.3,1.0,0.291,1.0,0.413,0.485,1.0,0.333,0.385,1.0,0.542,0.667,0.611,0.026
616,sub-023,Green/Inverted/Silhouettes,LDA,"[[28  2]
 [ 3  3]]",83.4,62.5,71.7,91.5,80.0,86.1,75.0,50.0,60.0,0.681,0.294,0.467,71.4,33.3,50.0,0.743,0.577,0.725,0.371,0.527,0.732,0.4,0.545,0.834,0.625,0.717,0.978,0.036
617,sub-023,Green/Inverted/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.578,0.065
618,sub-023,Target-Nontarget,SVM,"[[208  32]
 [  9  39]]",100.0,72.2,84.0,100.0,80.2,85.8,100.0,44.4,54.9,1.0,0.397,0.587,100.0,60.0,81.2,1.0,0.587,1.0,0.542,0.708,1.0,0.511,0.655,1.0,0.722,0.84,28.288,0.039
619,sub-023,Target-Nontarget,LDA,"[[215  25]
 [ 15  33]]",100.0,74.3,79.2,100.0,83.6,86.1,100.0,52.2,56.9,1.0,0.46,0.542,100.0,60.0,68.8,1.0,0.589,1.0,0.574,0.646,1.0,0.558,0.623,1.0,0.743,0.792,8.566,0.057
620,sub-023,Target-Nontarget,RF,"[[238   2]
 [ 29  19]]",100.0,52.5,69.4,100.0,83.6,89.2,100.0,100.0,90.5,1.0,0.204,0.555,100.0,5.0,39.6,1.0,0.72,1.0,0.071,0.479,1.0,0.095,0.551,1.0,0.525,0.694,5.033,0.096
621,sub-025,Neutral/Upright/Faces,SVM,"[[22  8]
 [ 0  6]]",100.0,87.5,86.7,100.0,80.0,77.8,100.0,50.0,42.9,1.0,0.612,0.561,100.0,100.0,100.0,1.0,0.484,1.0,0.765,0.709,1.0,0.667,0.6,1.0,0.875,0.867,0.542,0.023
622,sub-025,Neutral/Upright/Faces,LDA,"[[30  0]
 [ 2  4]]",91.5,62.5,83.3,95.3,80.0,94.4,85.7,50.0,100.0,0.829,0.294,0.791,85.7,33.3,66.7,0.857,0.909,0.857,0.371,0.743,0.857,0.4,0.8,0.915,0.625,0.833,1.176,0.042
623,sub-025,Neutral/Upright/Faces,RF,"[[30  0]
 [ 4  2]]",100.0,50.0,66.7,100.0,80.0,88.9,100.0,0.0,100.0,1.0,0.0,0.542,100.0,0.0,33.3,1.0,0.714,1.0,0.0,0.419,1.0,0.0,0.5,1.0,0.5,0.667,0.525,0.068
624,sub-025,Neutral/Upright/Silhouettes,SVM,"[[20 10]
 [ 0  6]]",100.0,70.8,83.3,100.0,53.3,72.2,100.0,30.0,37.5,1.0,0.354,0.5,100.0,100.0,100.0,1.0,0.429,1.0,0.582,0.661,1.0,0.462,0.545,1.0,0.708,0.833,0.709,0.027
625,sub-025,Neutral/Upright/Silhouettes,LDA,"[[29  1]
 [ 5  1]]",85.8,66.7,56.7,92.2,86.7,83.3,76.2,100.0,50.0,0.716,0.535,0.217,76.2,33.3,16.7,0.762,0.357,0.762,0.419,0.21,0.762,0.5,0.25,0.858,0.667,0.567,0.838,0.037
626,sub-025,Neutral/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.576,0.062
627,sub-025,Green/Upright/Faces,SVM,"[[23  7]
 [ 0  6]]",100.0,79.2,88.3,100.0,66.7,80.6,100.0,37.5,46.2,1.0,0.468,0.595,100.0,100.0,100.0,1.0,0.517,1.0,0.661,0.736,1.0,0.545,0.632,1.0,0.792,0.883,0.701,0.043
628,sub-025,Green/Upright/Faces,LDA,"[[30  0]
 [ 0  6]]",92.9,95.8,100.0,97.7,93.3,100.0,100.0,75.0,100.0,0.913,0.829,1.0,85.7,100.0,100.0,0.968,1.0,0.897,0.907,1.0,0.923,0.857,1.0,0.929,0.958,1.0,0.951,0.058
629,sub-025,Green/Upright/Faces,RF,"[[30  0]
 [ 4  2]]",100.0,79.2,66.7,100.0,86.7,88.9,100.0,66.7,100.0,1.0,0.583,0.542,100.0,66.7,33.3,1.0,0.714,1.0,0.667,0.419,1.0,0.667,0.5,1.0,0.792,0.667,0.543,0.066
