,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-010,Green/Inverted/Faces,RF,"{'RF__n_estimators': 132, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 97, 'RF__max_depth': 84, 'RF__class_weight': 'balanced_subsample'}","[[30  0]
 [ 6  0]]",100.0,52.5,50.0,100.0,84.1,83.3,100.0,10.0,0.0,1.0,0.068,0.0,100.0,5.0,0.0,1.0,0.0,1.0,0.059,0.0,1.0,0.067,0.0,1.0,0.525,0.5,0.767,0.081
0,sub-010,Green/Inverted/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 188.73918221350996}","[[19 11]
 [ 0  6]]",100.0,65.8,81.7,100.0,61.0,69.4,100.0,25.7,35.3,1.0,0.241,0.473,100.0,73.3,100.0,1.0,0.405,1.0,0.461,0.639,1.0,0.377,0.522,1.0,0.658,0.817,0.5,0.028
0,sub-010,Green/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[25  5]
 [ 3  3]]",85.7,65.4,66.7,93.2,86.9,77.8,83.0,65.0,37.5,0.747,0.406,0.299,74.5,33.3,50.0,0.811,0.395,0.769,0.385,0.453,0.785,0.43,0.429,0.857,0.654,0.667,8.416,0.033
0,sub-010,Green/Inverted/Silhouettes,RF,"{'RF__n_estimators': 925, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 2, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 170, 'RF__max_depth': 22, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",98.6,50.0,50.0,99.5,83.4,83.3,100.0,0.0,0.0,0.983,0.0,0.0,97.2,0.0,0.0,0.994,0.0,0.981,0.0,0.0,0.986,0.0,0.0,0.986,0.5,0.5,4.147,0.364
0,sub-010,Target-Nontarget,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0005298316906283707}","[[194  46]
 [  3  45]]",100.0,82.9,87.3,100.0,84.4,83.0,100.0,52.5,49.5,1.0,0.563,0.598,100.0,80.7,93.8,1.0,0.546,1.0,0.69,0.735,1.0,0.634,0.647,1.0,0.829,0.873,29.321,0.044
0,sub-010,Target-Nontarget,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[211  29]
 [ 11  37]]",100.0,81.6,82.5,100.0,87.8,86.1,100.0,62.0,56.1,1.0,0.596,0.576,100.0,72.3,77.1,1.0,0.593,1.0,0.686,0.691,1.0,0.665,0.649,1.0,0.816,0.825,21.634,0.049
0,sub-010,Target-Nontarget,RF,"{'RF__n_estimators': 498, 'RF__min_samples_split': 7, 'RF__min_samples_leaf': 5, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 6, 'RF__max_depth': None, 'RF__class_weight': 'balanced_subsample'}","[[231   9]
 [ 13  35]]",55.0,50.3,84.6,85.0,83.4,92.4,100.0,10.0,79.5,0.291,0.021,0.716,10.1,0.5,72.9,0.357,0.781,0.139,0.007,0.748,0.183,0.01,0.761,0.55,0.503,0.846,4.696,0.283
0,sub-011,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.2395026619987486}","[[20  9]
 [ 0  6]]",100.0,81.3,84.5,100.0,72.1,74.3,100.0,37.5,40.0,1.0,0.477,0.525,100.0,95.0,100.0,1.0,0.455,1.0,0.633,0.684,1.0,0.529,0.571,1.0,0.813,0.845,0.463,0.03
0,sub-011,Neutral/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  1]
 [ 2  4]]",94.3,76.2,81.6,96.9,89.7,91.4,90.5,61.7,80.0,0.886,0.539,0.681,90.4,56.7,66.7,0.904,0.769,0.904,0.559,0.703,0.904,0.563,0.727,0.943,0.762,0.816,8.614,0.03
0,sub-011,Neutral/Upright/Faces,RF,"{'RF__n_estimators': 1474, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 4, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 168, 'RF__max_depth': 7, 'RF__class_weight': 'balanced'}","[[29  0]
 [ 4  2]]",83.6,54.2,66.7,94.7,85.3,88.6,100.0,20.0,100.0,0.794,0.121,0.541,67.1,8.3,33.3,0.909,0.714,0.745,0.101,0.419,0.801,0.117,0.5,0.836,0.542,0.667,4.959,0.345
